grade,sub_grade,total_revol_bal
A,A1,2555122.0
A,A2,6155325.0
A,A3,11340243.0
A,A4,17115905.0
A,A5,22742484.0
B,B1,12171273.0
B,B2,14665975.0
B,B3,19866451.0
B,B4,20750303.0
B,B5,21010825.0
C,C1,15617110.0
C,C2,14144786.0
C,C3,13622306.0
C,C4,11036441.0
C,C5,9514269.0
D,D1,7509018.0
D,D2,9867583.0
D,D3,9587793.0
D,D4,7295395.0
D,D5,7106850.0
E,E1,5585218.0
E,E2,5030586.0
E,E3,4163021.0
E,E4,3872954.0
E,E5,3324487.0
F,F1,2826265.0
F,F2,2307512.0
F,F3,1389932.0
F,F4,955834.0
F,F5,1069756.0
G,G1,637678.0
G,G2,1036957.0
G,G3,493693.0
G,G4,758678.0
G,G5,474920.0
